2021-01-27 at 09:01:33 | INFO | exit from DB
2021-01-27 at 09:01:33 | DEBUG | Fault reading
2021-01-27 at 09:01:33 | INFO | Data Base is ready to use
2021-01-27 at 09:01:34 | INFO | Done
2021-01-27 at 09:01:35 | INFO | exit from DB
2021-01-27 at 09:01:35 | DEBUG | Fault reading
2021-01-27 at 09:01:37 | INFO | Data Base is ready to use
2021-01-27 at 09:01:38 | INFO | Done
2021-01-27 at 09:01:38 | INFO | exit from DB
2021-01-27 at 09:01:38 | DEBUG | Fault reading
2021-01-27 at 09:01:38 | INFO | Data Base is ready to use
2021-01-27 at 09:01:39 | INFO | Done
2021-01-27 at 09:01:40 | INFO | exit from DB
2021-01-27 at 09:01:40 | DEBUG | Fault reading
2021-01-27 at 09:01:40 | INFO | Data Base is ready to use
2021-01-27 at 09:01:40 | INFO | Done
2021-01-27 at 09:01:41 | INFO | exit from DB
2021-01-27 at 09:01:41 | DEBUG | Fault reading
2021-01-27 at 09:01:41 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:01:41 | INFO | Polling ON
2021-01-27 at 09:01:41 | INFO | Data Base is ready to use
2021-01-27 at 09:01:41 | INFO | Done
2021-01-27 at 09:01:42 | INFO | exit from DB
2021-01-27 at 09:01:42 | DEBUG | Fault reading
2021-01-27 at 09:01:42 | INFO | Data Base is ready to use
2021-01-27 at 09:01:43 | INFO | Done
2021-01-27 at 09:01:43 | INFO | exit from DB
2021-01-27 at 09:01:43 | DEBUG | Fault reading
2021-01-27 at 09:01:43 | INFO | Data Base is ready to use
2021-01-27 at 09:01:44 | INFO | Done
2021-01-27 at 09:01:45 | INFO | exit from DB
2021-01-27 at 09:01:45 | DEBUG | Fault reading
2021-01-27 at 09:01:46 | INFO | Data Base is ready to use
2021-01-27 at 09:01:46 | INFO | Done
2021-01-27 at 09:01:47 | INFO | exit from DB
2021-01-27 at 09:01:47 | DEBUG | Fault reading
2021-01-27 at 09:01:47 | INFO | Data Base is ready to use
2021-01-27 at 09:01:48 | INFO | Done
2021-01-27 at 09:01:49 | INFO | exit from DB
2021-01-27 at 09:01:49 | DEBUG | Fault reading
2021-01-27 at 09:01:49 | INFO | Data Base is ready to use
2021-01-27 at 09:01:50 | INFO | Done
2021-01-27 at 09:01:50 | INFO | exit from DB
2021-01-27 at 09:01:51 | DEBUG | Fault reading
2021-01-27 at 09:01:51 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:01:51 | INFO | Polling ON
2021-01-27 at 09:01:51 | INFO | Data Base is ready to use
2021-01-27 at 09:01:52 | INFO | Done
2021-01-27 at 09:01:52 | INFO | exit from DB
2021-01-27 at 09:01:53 | DEBUG | Fault reading
2021-01-27 at 09:01:54 | INFO | Data Base is ready to use
2021-01-27 at 09:01:58 | INFO | Data Base is ready to use
2021-01-27 at 09:01:58 | INFO | exit from DB
2021-01-27 at 09:01:58 | INFO | Polling ON
2021-01-27 at 09:01:58 | INFO | Data Base is ready to use
2021-01-27 at 09:01:59 | INFO | Done
2021-01-27 at 09:01:59 | INFO | exit from DB
2021-01-27 at 09:01:59 | DEBUG | Fault reading
2021-01-27 at 09:02:00 | INFO | Data Base is ready to use
2021-01-27 at 09:02:00 | INFO | Done
2021-01-27 at 09:02:01 | INFO | exit from DB
2021-01-27 at 09:02:01 | DEBUG | Fault reading
2021-01-27 at 09:02:01 | INFO | Data Base is ready to use
2021-01-27 at 09:02:02 | INFO | Done
2021-01-27 at 09:02:02 | INFO | exit from DB
2021-01-27 at 09:02:02 | DEBUG | Fault reading
2021-01-27 at 09:02:03 | INFO | Data Base is ready to use
