2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m65), 'b'top_9'', ... (6 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 65
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m66), 'b'top_10'', ... (6 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 66
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m67), 'b'top_11'', ... (6 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 67
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m68), 'b'top_12'', ... (6 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 68
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m69), 'b'top_13'', ... (6 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 69
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m70), 'b'top_14'', ... (8 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 70
2021-01-26 at 14:09:42 | INFO | Data Base is ready to use
2021-01-26 at 14:09:43 | INFO | exit from DB
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m71), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 71
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m72), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 72
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m73), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 73
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m74), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 74
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m75), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 75
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m76), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 76
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m77), 'b'top_7'', ... (8 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 77
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m78), 'b'top_8'', ... (6 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 78
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m79), 'b'top_9'', ... (8 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 79
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m80), 'b'top_10'', ... (8 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 80
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m81), 'b'top_11'', ... (6 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 81
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m82), 'b'top_12'', ... (6 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 82
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m83), 'b'top_13'', ... (8 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 83
2021-01-26 at 14:09:43 | INFO | Sending PUBLISH (d0, q0, r0, m84), 'b'top_14'', ... (6 bytes)
2021-01-26 at 14:09:43 | INFO | mid: 84
2021-01-26 at 14:09:48 | INFO | Data Base is ready to use
2021-01-26 at 14:09:49 | INFO | exit from DB
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m85), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 85
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m86), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 86
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m87), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 87
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m88), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 88
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m89), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 89
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m90), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 90
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m91), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 91
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m92), 'b'top_8'', ... (8 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 92
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m93), 'b'top_9'', ... (6 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 93
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m94), 'b'top_10'', ... (6 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 94
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m95), 'b'top_11'', ... (6 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 95
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m96), 'b'top_12'', ... (8 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 96
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m97), 'b'top_13'', ... (8 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 97
2021-01-26 at 14:09:49 | INFO | Sending PUBLISH (d0, q0, r0, m98), 'b'top_14'', ... (8 bytes)
2021-01-26 at 14:09:49 | INFO | mid: 98
2021-01-26 at 14:09:54 | INFO | Data Base is ready to use
2021-01-26 at 14:09:55 | INFO | exit from DB
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m99), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 99
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m100), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 100
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m101), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 101
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m102), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 102
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m103), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 103
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m104), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 104
